Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,ARASE,"ARASE - Doğu Aras Enerji 
	Hisse Senedi",2026/6,June,8.703.383.456,False,27.718.000.000,0.3139975270943069,0.3572416850191646,26.775,943,1.297.336.597,0.8,3.0,2.0,5.0,14.9,3.9
2,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/6,June,5.427.738.000,False,24.606.129.760,0.2205847913889892,0.3482635995062734,27.792,-3.186,2.911.568.000,3.9,5.0,3.0,8.0,53.6,-20.4
3,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,209.405.748.449,0.1831071366665265,0.3444231721257625,127.555,81.850,29.083.281.000,8.2,6.0,4.0,10.0,75.8,73.5
4,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,304.097.500.000,0.1630674898675589,0.2417850361438487,183.575,120.522,47.155.432.000,45.9,10.0,11.0,21.0,95.1,58.8
5,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/6,June,3.781.171.591,False,25.623.400.000,0.1475671296939516,0.2788424777631283,27.132,-1.509,204.998.460,3.1,14.0,8.0,22.0,5.4,-11.1
6,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,40.061.300.000,0.1212540379618235,0.3424465351477972,33.656,6.406,1.043.513.420,0.9,17.0,5.0,22.0,21.5,45.2
7,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,253.791.788.160,0.1222415871881612,0.3036832655112932,223.846,29.946,11.670.835.000,10.5,16.0,7.0,23.0,37.6,29.3
8,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/6,June,12.503.102.000,False,78.476.198.539,0.1593234921256699,0.2135624090182964,58.591,19.885,3.949.004.000,7.0,12.0,13.0,25.0,31.6,34.0
9,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,100.360.045.312,0.1812901333727663,0.1850546539354375,100.356,4,11.149.253.000,20.1,7.0,20.0,27.0,61.3,0.0
10,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/6,June,30.214.835.000,False,176.911.878.918,0.1707903120177477,0.1561600800321292,111.257,65.655,22.981.548.000,18.7,8.0,23.0,31.0,76.1,33.9
