Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,24.803.583.200,0.2144637311918707,0.3359224042825541,28.682,-3.878,3.001.528.000,3.9,4.0,4.0,8.0,56.4,-24.5
2,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,217.082.696.735,0.1766317056893991,0.3444231721257625,135.232,81.850,29.083.281.000,7.4,7.0,2.0,9.0,75.8,73.5
3,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/6,June,3.712.889.353,False,26.702.250.000,0.139047808817609,0.4661168705433294,27.094,-392,61.147.098,8.3,11.0,1.0,12.0,1.6,-4.9
4,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,298.322.500.000,0.1662241902638922,0.2417850361438487,177.800,120.522,47.155.432.000,44.2,8.0,8.0,16.0,95.1,58.8
5,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,41.130.500.000,0.1181020019450286,0.3424465351477972,34.725,6.406,1.043.513.420,1.0,15.0,3.0,18.0,21.5,45.2
6,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,96.727.232.812,0.1880988990480948,0.1850546539354375,96.724,4,11.149.253.000,22.0,6.0,14.0,20.0,61.3,0.0
7,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,250.434.093.838,0.1238805408824175,0.3036832655112932,220.489,29.946,11.670.835.000,10.8,14.0,6.0,20.0,37.6,29.3
8,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/6,June,3.856.667.731,False,32.700.300.000,0.1179398271881297,0.3344456247115929,26.543,6.157,2.482.987.037,16.2,16.0,5.0,21.0,64.4,53.4
9,TRENJ,"TRENJ - TR Doğal Enerji Kaynakları 
	Hisse Senedi",2026/6,June,7.207.747.000,False,6.449.155.284,1.1176265235946243,0.1211997691675427,27.433,-20.984,55.684.000,4.1,1.0,22.0,23.0,0.8,-35.3
10,TBORG,"TBORG - Tuborg 
	Hisse Senedi",2026/6,June,6.196.509.000,False,45.721.811.540,0.1355263230225411,0.1885925202242472,47.344,-1.622,3.257.057.000,0.7,12.0,13.0,25.0,52.6,-4.9
