Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score,FinansmanGideri_EBIT_%,DebtShareOfCapital_%
1,ARASE,"ARASE - Doğu Aras Enerji 
	Hisse Senedi",2026/6,June,8.703.383.456,False,32.193.000.000,0.2703501834560308,0.3572416850191646,31.250,943,1.297.336.597,0.9,3.0,4.0,7.0,14.9,3.9
2,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,25.582.204.960,0.2079362982322068,0.3359224042825541,29.461,-3.878,3.001.528.000,4.1,5.0,7.0,12.0,56.4,-24.5
3,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/6,June,38.343.687.000,False,212.712.741.557,0.1802604146763967,0.3444231721257625,130.862,81.850,29.083.281.000,7.2,8.0,5.0,13.0,75.8,73.5
4,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/6,June,3.712.889.353,False,27.452.250.000,0.135248999735905,0.4661168705433294,27.844,-392,61.147.098,8.8,14.0,2.0,16.0,1.6,-4.9
5,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/6,June,49.588.416.000,False,300.947.500.000,0.1647743078111631,0.2417850361438487,180.425,120.522,47.155.432.000,45.3,10.0,14.0,24.0,95.1,58.8
6,CLEBI,"CLEBI - Çelebi 
	Hisse Senedi",2026/6,June,4.857.594.391,False,41.689.400.000,0.1165186927852163,0.3424465351477972,35.284,6.406,1.043.513.420,1.0,19.0,6.0,25.0,21.5,45.2
7,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/6,June,3.781.171.591,False,29.091.400.000,0.1299755801027107,0.2788424777631283,30.600,-1.509,204.998.460,3.3,15.0,11.0,26.0,5.4,-11.1
8,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/6,June,31.023.911.000,False,244.698.032.704,0.1267844725077606,0.3036832655112932,214.753,29.946,11.670.835.000,11.2,17.0,10.0,27.0,37.6,29.3
9,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/6,June,3.856.667.731,False,33.961.900.000,0.1135586563472597,0.3344456247115929,27.805,6.157,2.482.987.037,17.6,20.0,8.0,28.0,64.4,53.4
10,ARDYZ,"ARDYZ - ARD Grup Bilişim 
	Hisse Senedi",2026/6,June,2.603.901.925,False,28.056.970.947,0.0928076637334649,2.297308811337798,26.539,1.518,944.045.434,8.0,27.0,1.0,28.0,36.3,133.9
11,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/6,June,12.503.102.000,False,84.816.575.956,0.1474134254899206,0.2135624090182964,64.932,19.885,3.949.004.000,7.0,13.0,16.0,29.0,31.6,34.0
12,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,94.547.545.312,0.1924353079698046,0.1850546539354375,94.544,4,11.149.253.000,22.1,6.0,23.0,29.0,61.3,0.0
13,TRENJ,"TRENJ - TR Doğal Enerji Kaynakları 
	Hisse Senedi",2026/6,June,7.207.747.000,False,6.033.498.386,1.1946215179575674,0.1211997691675427,27.018,-20.984,55.684.000,4.2,1.0,34.0,35.0,0.8,-35.3
14,AEFES,"AEFES - Anadolu Efes 
	Hisse Senedi",2026/6,June,30.214.835.000,False,172.707.931.550,0.1749475819017764,0.1561600800321292,107.053,65.655,22.981.548.000,18.6,9.0,26.0,35.0,76.1,33.9
15,INVES,"INVES - Investco Holding 
	Hisse Senedi",2026/6,June,13.215.978.559,False,144.505.350.000,0.0914566731197149,0.3076987800494339,149.156,-4.651,59.609.521,1.7,28.0,9.0,37.0,0.5,-10.8
16,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/6,June,7.184.466.000,False,30.529.476.000,0.2353288343370191,0.1201019784213612,52.274,-21.745,,16.0,4.0,35.0,39.0,,-36.4
17,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/6,June,9.913.209.000,False,92.233.845.527,0.1074790814950685,0.2113348066695031,78.984,13.250,5.498.412.000,6.6,22.0,17.0,39.0,55.5,28.2
