Rank,Ticker,Name,Period,Group,EBIT_TTM,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
1,ESCOM,"ESCOM - Escort Teknoloji 
	Hisse Senedi",2026/3,March,2291914341.0,3875500000.0,59.14,60.45,3876.6,-1.1,333175966.0,9.7,2.0,4.0,6.0
2,ATATP,"ATATP - ATP Bilgisayar 
	Hisse Senedi",2026/3,March,4827043819.0,16999900000.000002,28.39,79.55,17446.9,-447.0,33989858.0,5.2,5.0,1.0,6.0
3,ALVES,"ALVES - Alves Kablo 
	Hisse Senedi",2026/3,March,2261624580.0,9693100000.0,23.33,73.39,5696.0,3997.1,392214297.0,13.4,7.0,3.0,10.0
4,TRILC,"TRILC - Turk İlaç ve Serum Sanayi 
	Hisse Senedi",2026/3,March,1513118042.0,7303700000.0,20.72,54.79,3225.1,4078.6,40022171.0,5.4,9.0,7.0,16.0
5,AKFIS,"AKFIS - Akfen İnşaat 
	Hisse Senedi",2026/3,March,18958877127.0,60252299999.99999,31.47,33.45,40868.7,19383.6,4152934000.0,10.3,4.0,14.0,18.0
6,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/3,March,40432208570.0,209573500000.0,19.29,38.04,139484.2,70089.3,8255714000.0,9.8,10.0,11.0,21.0
7,KARSN,"KARSN - Karsan Otomotiv 
	Hisse Senedi",2026/3,March,3613503883.0,21088300000.0,17.14,57.61,12780.0,8308.3,242692000.0,5.4,16.0,6.0,22.0
8,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2025/12,December,5644768000.0,30217999999.999996,18.68,36.97,34275.2,-4057.2,3725929000.0,6.5,11.0,12.0,23.0
9,LMKDC,"LMKDC - Limak Doğu Anadolu Çimento 
	Hisse Senedi",2026/3,March,3115135920.0,16934500000.0,18.4,35.18,19253.5,-2319.0,272085000.0,5.4,13.0,13.0,26.0
10,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/3,March,71909823953.0,338437300000.0,21.25,21.25,251900.0,86537.3,3468997000.0,54.0,8.0,24.0,32.0
11,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/3,March,56339294428.0,335167600000.0,16.81,27.39,222775.0,112392.6,786641000.0,24.6,18.0,21.0,39.0
12,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/3,March,18100956072.0,97181300000.0,18.63,18.42,97177.7,3.6,2753970000.0,20.2,12.0,27.0,39.0
13,FORTE,"FORTE - Forte Bilgi İletişim 
	Hisse Senedi",2026/3,March,753687650.0,8189100000.0,9.2,58.55,6485.6,1703.5,53031587.0,6.2,35.0,5.0,40.0
14,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/3,March,30852396708.0,258482300000.0,11.94,30.14,232240.5,26241.8,502260000.0,9.5,24.0,18.0,42.0
