Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
1,MAVI,"MAVI - Mavi Giyim Sanayi Tic.A.S 
	Hisse Senedi",2026/3,March,5.319.469.000,False,27.218.900.000,0.1954329160987402,0.3359224042825541,31.097,-3.878,754.746.000,4.9,4.0,4.0,8.0
2,ENJSA,"ENJSA - Enerjisa Enerji 
	Hisse Senedi",2026/3,March,36.632.249.000,False,199.416.400.000,0.1836972736444946,0.3446709664623184,129.327,70.089,7.431.713.000,5.9,6.0,3.0,9.0
3,TCELL,"TCELL - Turkcell 
	Hisse Senedi",2026/3,March,64.536.683.000,False,309.837.300.000,0.2082921681798802,0.1912318952698448,223.300,86.537,8.933.657.000,54.9,3.0,11.0,14.0
4,TTKOM,"TTKOM - Türk Telekom 
	Hisse Senedi",2026/3,March,51.447.356.000,False,289.842.600.000,0.1775010160687214,0.2513555809681752,177.450,112.393,13.201.796.000,40.3,7.0,8.0,15.0
5,GRSEL,"GRSEL - Gürsel Taşımacılık 
	Hisse Senedi",2026/3,March,3.722.733.165,False,35.139.600.000,0.1059412504695557,0.305724211672547,36.720,-1.580,38.241.229,3.9,12.0,5.0,17.0
6,YEOTK,"YEOTK - YEO Teknoloji 
	Hisse Senedi",2026/3,March,3.637.210.911,False,39.704.400.000,0.0916072503551243,0.3821133795003388,33.015,6.689,1.091.035.688,30.1,18.0,1.0,19.0
7,MPARK,"MPARK - MLP Sağlık Hizmetleri 
	Hisse Senedi",2026/3,March,10.190.422.000,False,91.566.000.000,0.1112904571565865,0.194471152639659,76.453,15.113,1.371.620.000,6.8,9.0,10.0,19.0
8,TAVHL,"TAVHL - TAV Holding 
	Hisse Senedi",2026/6,June,18.194.286.000,False,97.272.200.000,0.1870450755714376,0.1850546539354375,97.269,4,5.430.360.000,22.3,5.0,14.0,19.0
9,CCOLA,"CCOLA - Coca-Cola İçecek A.Ş 
	Hisse Senedi",2026/3,March,28.326.732.000,False,279.467.900.000,0.1013595192864726,0.2981041890680591,253.226,26.242,2.628.153.000,11.5,14.0,6.0,20.0
10,TRMET,"TRMET - TR Anadolu Metal 
	Hisse Senedi",2026/3,March,6.846.223.000,False,25.737.400.000,0.2660028985056765,0.127272107714725,49.752,-24.014,,13.7,2.0,21.0,23.0
11,DOHOL,"DOHOL - Doğan Holding 
	Hisse Senedi",2026/3,March,11.993.420.000,False,16.207.100.000,0.7400102424246161,0.1249614178332588,55.637,-39.430,2.348.121.000,5.3,1.0,23.0,24.0
12,OYAKC,"OYAKC - Oyak Çimento 
	Hisse Senedi",2026/3,March,10.150.372.000,False,91.631.200.000,0.1107741904504142,0.1616596508684046,101.706,-10.075,463.998.000,8.9,11.0,15.0,26.0
13,GUBRF,"GUBRF - Gübre Fabrikaları 
	Hisse Senedi",2026/3,March,11.372.906.180,False,129.398.800.000,0.0878903527698865,0.2756768656269178,133.934,-4.535,593.817.627,25.5,21.0,7.0,28.0
14,GESAN,"GESAN - Girişim Elektrik 
	Hisse Senedi",2026/3,March,4.025.474.000,False,39.262.400.000,0.1025274562940625,0.1580798508875815,34.684,4.578,271.220.000,30.7,13.0,16.0,29.0
15,GLRMK,"GLRMK - Gülermak Ağır Sanayi 
	Hisse Senedi",2026/3,March,5.560.164.012,False,50.031.900.000,0.1111323777829744,0.1275077694712496,47.712,2.319,276.270.182,18.9,10.0,20.0,30.0
16,DOAS,"DOAS - Doğuş Otomotiv 
	Hisse Senedi",2026/3,March,10.193.478.000,False,67.511.700.000,0.1509883175805082,0.1221868217101931,39.930,27.582,2.099.584.000,5.5,8.0,24.0,32.0
17,FROTO,"FROTO - Ford Otosan 
	Hisse Senedi",2026/3,March,37.373.642.000,False,375.586.400.000,0.0995074422290051,0.1494265119939653,269.148,106.438,11.586.797.000,48.5,17.0,17.0,34.0
18,GENIL,"GENIL - Gen İlaç 
	Hisse Senedi",2026/3,March,2.390.951.800,False,44.166.900.000,0.0541344717424134,0.2094098784372923,40.725,3.442,256.730.446,12.7,29.0,9.0,38.0
19,TUPRS,"TUPRS - Tüpraş 
	Hisse Senedi",2026/3,March,47.947.480.000,False,480.210.900.000,0.0998467131837282,0.1176777229057707,554.917,-74.706,5.824.289.000,130.9,16.0,26.0,42.0
