Rank,Ticker,Name,Period,Group,EBIT_TTM,EBIT_Estimated,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
20,EUPWR,"EUPWR - Europower Enerji 
	Hisse Senedi",2026/3,March,2.971.981.000,False,59.170.500.000,0.0502274106184669,0.1905102836467542,56.661,2.510,137.766.000,60.6,30.0,12.0,42.0
21,BRYAT,"BRYAT - Borusan Yatırım 
	Hisse Senedi",2026/3,March,4.155.143.053,False,41.179.700.000,0.1009027033465518,0.110677560671073,46.716,-5.536,,3.0,15.0,28.0,43.0
22,TRALT,"TRALT - Türk Altın 
	Hisse Senedi",2026/3,March,7.138.213.000,False,123.778.000.000,0.0576694808447381,0.1418919480332371,147.892,-24.114,22.000,125.2,26.0,18.0,44.0
23,CWENE,"CWENE - Cw Enerji 
	Hisse Senedi",2026/6,June,2.885.181.811,False,47.489.800.000,0.0607537157663329,0.1268072742801708,38.064,9.426,1.491.076.129,31.5,25.0,22.0,47.0
24,HEDEF,"HEDEF - Hedef Holding 
	Hisse Senedi",2026/3,March,2.457.220.414,False,855.008.300.000,0.002873914105863,0.3747573919581032,855.000,8,886.336,7.7,47.0,2.0,49.0
25,RYSAS,"RYSAS - Reysaş Taşımacılık 
	Hisse Senedi",2026/3,March,4.387.467.832,False,49.783.900.000,0.0881302556047236,0.1033526799613807,45.800,3.984,1.018.026.232,5.4,20.0,29.0,49.0
26,EFOR,"EFOR - Efor Yat. San. 
	Hisse Senedi",2026/3,March,1.072.803.697,False,47.484.700.000,0.0225926181907014,0.1891202351387948,46.522,963,235.028.448,35.1,38.0,13.0,51.0
27,ENKAI,"ENKAI - Enka İnşaat 
	Hisse Senedi",2026/3,March,29.960.024.000,False,327.677.800.000,0.0914313511626359,0.0694889557134808,511.500,-183.822,848.435.000,23.1,19.0,35.0,54.0
28,CIMSA,"CIMSA - Çimsa 
	Hisse Senedi",2026/3,March,4.428.582.000,False,67.081.300.000,0.0660181302389786,0.087556447506962,43.705,23.376,533.286.000,7.0,24.0,30.0,54.0
29,SELEC,"SELEC - Selçuk Ecza Deposu 
	Hisse Senedi",2026/3,March,4.594.620.424,False,126.215.100.000,0.0364030961747049,0.1323830154656099,133.515,-7.300,140.878.416,14.2,35.0,19.0,54.0
30,TABGD,"TABGD - Tab Gıda 
	Hisse Senedi",2026/3,March,3.407.536.000,False,62.241.100.000,0.0547473614701539,0.1131031099458488,62.031,210,495.912.000,5.2,28.0,27.0,55.0
31,ENERY,"ENERY - Enerya Enerji 
	Hisse Senedi",2026/3,March,5.873.789.229,False,76.657.400.000,0.0766239036153065,0.062611783970764,82.080,-5.423,175.001.228,12.7,23.0,37.0,60.0
32,BIMAS,"BIMAS - Bim Birleşik Mağazalar A.Ş 
	Hisse Senedi",2026/3,March,20.184.081.000,False,487.717.300.000,0.0413847960693623,0.0770746268643037,459.600,28.117,2.505.016.000,85.5,31.0,31.0,62.0
33,RALYH,"RALYH - Ral Yatırım Holding 
	Hisse Senedi",2026/3,March,1.542.966.368,False,81.026.300.000,0.0190427844786199,0.1212344333674731,78.022,3.004,109.057.840,17.5,40.0,25.0,65.0
34,ISDMR,"ISDMR - İskenderun Demir Çelik 
	Hisse Senedi",2026/3,March,8.258.657.000,False,143.743.600.000,0.0574540849123021,0.0446885641284017,157.905,-14.161,843.405.000,4.1,27.0,38.0,65.0
35,BRSAN,"BRSAN - Borusan Birleşik Boru Fab. 
	Hisse Senedi",2026/3,March,3.290.792.000,False,82.359.700.000,0.0399563378691277,0.0734361212422865,74.855,7.504,226.056.000,30.3,32.0,33.0,65.0
36,KRDMD,"KRDMD - Kardemir (D) 
	Hisse Senedi",2026/3,March,2.654.828.413,False,34.390.900.000,0.077195665510353,0.0237253664757112,31.896,2.495,671.976.545,56.5,22.0,45.0,67.0
37,TOASO,"TOASO - Tofaş Fabrika 
	Hisse Senedi",2026/6,June,7.369.281.000,False,189.384.200.000,0.0389118046806439,0.0730850138303329,130.250,59.134,2.332.766.000,23.1,33.0,34.0,67.0
38,GRTHO,"GRTHO - GrainTurk Tarım 
	Hisse Senedi",2026/3,March,726.835.846,False,30.058.100.000,0.0241810309367524,0.0678133268643878,30.988,-929,55.979.143,7.4,37.0,36.0,73.0
39,AYGAZ,"AYGAZ - Aygaz 
	Hisse Senedi",2026/3,March,2.145.617.000,False,56.126.900.000,0.0382279619932688,0.0293630613179369,57.203,-1.076,273.832.000,4.3,34.0,42.0,76.0
40,BIGEN,"BIGEN - Birleşim Grup Enerji 
	Hisse Senedi",2026/6,June,416.148.707,False,62.890.800.000,0.0066170045062234,0.0741074420790651,59.604,3.287,167.155.087,13.4,46.0,32.0,78.0
41,EREGL,"EREGL - Ereğli Demir Çelik 
	Hisse Senedi",2026/3,March,10.481.693.000,False,328.271.300.000,0.0319299707284797,0.0238876923055149,296.800,31.471,3.939.575.000,129.4,36.0,44.0,80.0
42,CVKMD,"CVKMD - Cvk Maden 
	Hisse Senedi",2026/3,March,407.192.065,False,54.780.900.000,0.0074331028697958,0.0364726772424793,51.996,2.785,603.051.023,17.2,44.0,40.0,84.0
43,SISE,"SISE - Şişecam 
	Hisse Senedi",2026/3,March,5.440.514.000,False,250.232.500.000,0.021741836092434,0.0143915524912439,126.633,123.599,9.196.967.000,57.6,39.0,46.0,85.0
44,OTKAR,"OTKAR - Otokar 
	Hisse Senedi",2026/3,March,624.116.000,False,68.922.500.000,0.009055330262251,0.0266790678476058,36.480,32.442,3.197.986.000,8.3,43.0,43.0,86.0
45,OZATD,"OZATD - Özata Denizcilik 
	Hisse Senedi",2026/3,March,267.871.839,False,272.205.900.000,0.000984078004922,0.0422716431275865,271.130,1.076,107.529.898,22.9,50.0,39.0,89.0
46,PASEU,"PASEU - Pasifik Eurasia 
	Hisse Senedi",2026/6,June,163.949.433,False,102.416.600.000,0.0016008091754656,0.031128704143839,100.800,1.617,207.215.003,35.3,49.0,41.0,90.0
47,ECILC,"ECILC - Eczacıbaşı İlaç 
	Hisse Senedi",2026/3,March,642.822.000,False,45.312.300.000,0.014186479167908,0.0087587187860907,45.467,-155,220.282.000,8.8,41.0,50.0,91.0
48,ECZYT,"ECZYT - Eczacıbaşı Yatırım 
	Hisse Senedi",2026/3,March,346.844.743,False,30.477.900.000,0.0113802047713261,0.0112236091858215,31.290,-812,5.313,3.5,42.0,49.0,91.0
49,KLRHO,"KLRHO - Kiler Holding 
	Hisse Senedi",2026/3,March,792.790.000,False,118.780.000.000,0.0066744401414379,0.0131296100471534,125.044,-6.264,170.524.000,13.8,45.0,47.0,92.0
50,MAGEN,"MAGEN - Margün Enerji 
	Hisse Senedi",2026/3,March,268.675.517,False,120.559.800.000,0.0022285663795062,0.0115232007851006,112.749,7.811,490.117.268,16.8,48.0,48.0,96.0
51,LIDER,"LIDER - Lider Turizm 
	Hisse Senedi",2026/3,March,3.952.926,False,62.795.200.000,6.294949295487552e-05,0.0002011321293409,77.921,-15.126,261.363.581,7.1,51.0,51.0,102.0
52,IEYHO,"IEYHO - Işıklar Enerji ve Yapı Holding 
	Hisse Senedi",2026/3,March,-156.574.637,False,89.306.100.000,-0.0017532356356396,-0.0614354330333415,89.313,-7,20.949.529,22.9,53.0,55.0,108.0
53,TEHOL,"TEHOL - Tera Holding 
	Hisse Senedi",2026/3,March,-328.879.118,False,90.209.200.000,-0.0036457381065345,-0.0353844407564398,92.248,-2.038,238.451.087,47.6,55.0,54.0,109.0
54,BSOKE,"BSOKE - Batıçim Çimento 
	Hisse Senedi",2026/3,March,-531.484.541,False,60.256.100.000,-0.0088204271600717,-0.0338262800949879,57.280,2.976,253.585.831,3.2,56.0,53.0,109.0
55,MOGAN,"MOGAN - Mogan Enerji 
	Hisse Senedi",2026/3,March,-2.741.873.932,False,70.235.000.000,-0.0390385695450986,-0.0191689346765284,40.140,30.095,4.743.617.442,8.6,57.0,52.0,109.0
56,ODINE,"ODINE - Odine Solutions 
	Hisse Senedi",2026/3,March,-142.396.087,False,255.291.600.000,-0.0005577781916835,-0.139234773987738,255.918,-626,7.781.244,19.4,52.0,59.0,111.0
57,GUNDG,"GUNDG - Gündoğdu Gıda 
	Hisse Senedi",2026/3,March,-132.809.943,False,74.178.000.000,-0.0017904222680579,-0.153298817618213,74.802,-624,2.004.877,11.2,54.0,60.0,114.0
58,TKFEN,"TKFEN - Tekfen Holding 
	Hisse Senedi",2026/3,March,-3.437.616.000,False,62.709.200.000,-0.0548183679587684,-0.0885269243462201,56.499,6.210,1.261.451.000,16.8,58.0,56.0,114.0
59,MGROS,"MGROS - Migros 
	Hisse Senedi",2026/3,March,-8.952.229.000,False,120.400.500.000,-0.0743537526837513,-0.0923268091548889,112.797,7.604,2.747.284.000,32.2,59.0,57.0,116.0
60,PETKM,"PETKM - Petkim 
	Hisse Senedi",2026/3,March,-12.644.051.000,False,95.289.900.000,-0.1326903585794507,-0.1248626777777543,48.179,47.111,3.033.677.000,34.9,60.0,58.0,118.0
61,SOKM,"SOKM - Şok Marketler 
	Hisse Senedi",2026/3,March,-6.573.618.056,False,34.687.300.000,-0.1895108023974192,-0.1573946397136,31.207,3.480,2.261.146.864,8.4,61.0,61.0,122.0
