Rank,Ticker,Name,Period,Group,EBIT_TTM,EnterpriseValue,EarningsYield,RoC,MarketCap_mnTL,NetDebt_mnTL,FinansmanGideri,Volume_mnUSD,EY_Rank,RoC_Rank,Magic_Score
47,MIATK,"MIATK - Mia Teknoloji 
	Hisse Senedi",2026/3,March,624105916.0,18916600000.0,3.3,30.99,17744.5,1172.1,342236644.0,37.4,81.0,14.0,95.0
48,GENKM,"GENKM - Gentaş Kimya 
	Hisse Senedi",2026/3,March,777859997.0,7766300000.000001,10.02,10.99,8471.2,-704.9,116633901.0,15.2,35.0,60.0,95.0
49,TUKAS,"TUKAS - Tukaş 
	Hisse Senedi",2026/3,March,1898196762.0,16164800000.0,11.74,8.45,10080.0,6084.8,291931682.0,8.5,27.0,70.0,97.0
50,EFOR,"EFOR - Efor Yat. San. 
	Hisse Senedi",2026/3,March,1178741408.0,33414800000.000004,3.53,20.78,32452.2,962.6,86625708.0,39.3,78.0,25.0,103.0
51,KCAER,"KCAER - Kocaer Çelik Sanayi 
	Hisse Senedi",2026/3,March,1963602498.0,31588100000.000004,6.22,11.52,28648.4,2939.7,456041671.0,6.7,50.0,56.0,106.0
52,SMRTG,"SMRTG - Smart Güneş Enerjisi 
	Hisse Senedi",2026/3,March,1442734972.0,30857400000.0,4.68,14.29,20321.2,10536.2,204340477.0,13.9,65.0,42.0,107.0
53,EMKEL,"EMKEL - Emek Elektrik 
	Hisse Senedi",2026/3,March,159282307.0,3163400000.0,5.04,13.44,2772.0,391.4,82121457.0,8.1,61.0,47.0,108.0
54,ALKLC,"ALKLC - Altınkılıç Gıda 
	Hisse Senedi",2026/3,March,921518428.0,40294900000.0,2.29,26.91,37968.0,2326.9,267034811.0,12.5,89.0,21.0,110.0
55,AKSEN,"AKSEN - Aksa Enerji 
	Hisse Senedi",2026/3,March,10268075696.0,152620800000.0,6.73,9.69,99701.3,52919.5,1778792921.0,11.3,47.0,64.0,111.0
56,CIMSA,"CIMSA - Çimsa 
	Hisse Senedi",2026/3,March,4923263508.0,68008000000.0,7.24,8.72,44631.9,23376.1,706366000.0,7.3,44.0,69.0,113.0
57,ASELS,"ASELS - Aselsan 
	Hisse Senedi",2026/3,March,52937460614.0,1776544100000.0,2.98,17.35,1754460.0,22084.1,8383053000.0,229.2,84.0,29.0,113.0
58,EUREN,"EUREN - Europen Endüstri 
	Hisse Senedi",2026/3,March,959900334.0,10425900000.0,9.21,7.49,9240.0,1185.9,161304108.0,10.8,37.0,77.0,114.0
59,ENKAI,"ENKAI - Enka İnşaat 
	Hisse Senedi",2026/3,March,32859951146.0,368477800000.0,8.92,7.62,552300.0,-183822.2,1631482000.0,24.2,38.0,76.0,114.0
60,SELEC,"SELEC - Selçuk Ecza Deposu 
	Hisse Senedi",2026/3,March,4802426826.0,122364900000.00002,3.92,13.47,129664.8,-7299.9,1066703084.0,9.3,71.0,45.0,116.0
61,HEDEF,"HEDEF - Hedef Holding 
	Hisse Senedi",2026/3,March,2707061528.0,472508300000.0,0.57,41.29,472500.0,8.3,117470805.0,8.4,109.0,8.0,117.0
62,THYAO,"THYAO - Türk Hava Yolları 
	Hisse Senedi",2026/3,March,99606103396.0,990286000000.0,10.06,6.03,459885.0,530401.0,14407000000.0,323.8,34.0,83.0,117.0
63,GIPTA,"GIPTA - Gıpta 
	Hisse Senedi",2026/3,March,400836543.0,7289600000.0,5.5,10.4,9279.6,-1990.0,237146237.0,6.6,58.0,62.0,120.0
64,ENERY,"ENERY - Enerya Enerji 
	Hisse Senedi",2026/3,March,6413895515.0,86107400000.0,7.45,6.84,91530.0,-5422.6,1250790206.0,13.3,43.0,80.0,123.0
65,ATATR,"ATATR - Ata Turizm 
	Hisse Senedi",2026/3,March,564639314.0,10016800000.0,5.64,9.03,12821.4,-2804.6,42526464.0,28.7,56.0,67.0,123.0
66,ISKPL,"ISKPL - Işıklar Plastik 
	Hisse Senedi",2026/3,March,472225662.0,10894600000.0,4.33,12.6,9090.0,1804.6,97351408.0,23.6,68.0,55.0,123.0
67,CGCAM,"CGCAM - Çağdaş Cam 
	Hisse Senedi",2026/3,March,448798211.0,6959700000.0,6.45,7.83,7459.2,-499.5,212360771.0,7.8,49.0,74.0,123.0
68,SDTTR,"SDTTR - SDT Uzay 
	Hisse Senedi",2026/3,March,407938560.0,16533599999.999998,2.47,15.26,16109.5,424.1,93309771.0,9.5,87.0,39.0,126.0
69,MEGMT,"MEGMT - Mega Metal 
	Hisse Senedi",2026/3,March,968410938.0,26109900000.0,3.71,12.65,19769.0,6340.9,215930876.0,14.2,75.0,53.0,128.0
70,RALYH,"RALYH - Ral Yatırım Holding 
	Hisse Senedi",2026/3,March,1712586057.0,71968700000.0,2.38,13.46,68964.3,3004.4,509915483.0,16.2,88.0,46.0,134.0
71,TATEN,"TATEN - Tatlıpınar Enerji 
	Hisse Senedi",2026/3,March,1100595543.0,21447300000.0,5.13,7.71,14473.8,6973.5,177056641.0,16.9,60.0,75.0,135.0
72,BIMAS,"BIMAS - Bim Birleşik Mağazalar A.Ş 
	Hisse Senedi",2026/3,March,21785093184.0,457117300000.0,4.77,8.32,429000.0,28117.3,7644301000.0,80.5,63.0,72.0,135.0
73,IZENR,"IZENR - İzdemir Enerji 
	Hisse Senedi",2026/3,March,1363185362.0,25006900000.0,5.45,6.96,24681.9,325.0,180758499.0,28.2,59.0,79.0,138.0
74,ISDMR,"ISDMR - İskenderun Demir Çelik 
	Hisse Senedi",2026/3,March,9020271144.0,148238600000.0,6.08,4.88,162400.0,-14161.4,843405000.0,5.3,51.0,88.0,139.0
75,BRSAN,"BRSAN - Borusan Birleşik Boru Fab. 
	Hisse Senedi",2026/3,March,3598650271.0,86471100000.0,4.16,8.03,78966.8,7504.3,226056000.0,34.3,69.0,73.0,142.0
76,GEREL,"GEREL - Gersan Elektrik 
	Hisse Senedi",2026/3,March,420645394.0,16159300000.0,2.6,10.05,14846.9,1312.4,1723560.0,8.4,86.0,63.0,149.0
77,KAREL,"KAREL - Karel Elektronik 
	Hisse Senedi",2026/3,March,150672511.0,14759500000.0,1.02,13.32,9179.0,5580.5,322468893.0,6.2,101.0,49.0,150.0
78,CEMZY,"CEMZY - Cem Zeytin 
	Hisse Senedi",2026/3,March,572593213.0,32456200000.0,1.76,11.25,32177.0,279.2,138863518.0,8.8,93.0,58.0,151.0
79,KRDMD,"KRDMD - Kardemir (D) 
	Hisse Senedi",2026/3,March,1901044392.0,33033300000.000004,5.75,2.48,30538.0,2495.3,87718924.0,59.6,54.0,100.0,154.0
80,SAHOL,"SAHOL - Sabancı Holding 
	Hisse Senedi",2026/3,March,91699966798.0,3041834400000.0005,3.01,8.42,204891.7,2836942.7,19367719000.0,69.6,83.0,71.0,154.0
81,KRDMA,"KRDMA - Kardemir (A) 
	Hisse Senedi",2026/3,March,585507145.0,10298900000.0,5.69,2.48,9530.4,768.5,27016758.0,11.0,55.0,101.0,156.0
82,QUAGR,"QUAGR - QUA Granite 
	Hisse Senedi",2026/3,March,558842395.0,14257599999.999998,3.92,5.37,10322.4,3935.2,360706148.0,12.9,72.0,86.0,158.0
83,KCHOL,"KCHOL - Koç Holding 
	Hisse Senedi",2026/3,March,119517337186.0,3537640500000.0,3.38,6.71,491203.5,3046437.0,26167000000.0,84.4,79.0,81.0,160.0
84,DMRGD,"DMRGD - DMR Unlu Mamüller 
	Hisse Senedi",2026/3,March,217869186.0,17657300000.0,1.23,10.5,17640.6,16.7,26272604.0,14.7,99.0,61.0,160.0
85,KONTR,"KONTR - Kontrolmatik Teknoloji 
	Hisse Senedi",2026/3,March,773799359.0,17169500000.0,4.51,4.25,4121.0,13048.5,225643016.0,36.6,67.0,94.0,161.0
86,PGSUS,"PGSUS - Pegasus Hava Taşımacılığı 
	Hisse Senedi",2026/3,March,12064223939.0,258034700000.0,4.68,3.73,88500.0,169534.7,4848841000.0,51.2,66.0,95.0,161.0
87,ARCLK,"ARCLK - Arçelik 
	Hisse Senedi",2026/3,March,8504027917.0,237185000000.0,3.59,5.54,67403.9,169781.1,5889608000.0,5.5,77.0,85.0,162.0
88,TOASO,"TOASO - Tofaş Fabrika 
	Hisse Senedi",2026/3,March,6795639031.0,201340900000.0,3.38,6.48,153125.0,48215.9,964187000.0,22.6,80.0,82.0,162.0
89,GRTHO,"GRTHO - GrainTurk Tarım 
	Hisse Senedi",2026/3,March,792384234.0,29433100000.0,2.69,7.39,30362.5,-929.4,380339527.0,8.0,85.0,78.0,163.0
90,HRKET,"HRKET - Hareket Proje 
	Hisse Senedi",2026/3,March,673814211.0,18112800000.0,3.72,4.41,12165.1,5947.7,283891625.0,6.9,74.0,93.0,167.0
91,DYOBY,"DYOBY - DYO Boya 
	Hisse Senedi",2026/3,March,315055817.0,9979900000.0,3.16,4.9,4218.0,5761.9,64626644.0,5.2,82.0,87.0,169.0
92,BIGEN,"BIGEN - Birleşim Grup Enerji 
	Hisse Senedi",2026/3,March,507966619.0,54364600000.0,0.93,8.94,51179.9,3184.7,103184125.0,6.7,102.0,68.0,170.0
93,DOFRB,"DOFRB - Dof Robotik 
	Hisse Senedi",2026/3,March,233080988.0,30311400000.0,0.77,9.17,30008.0,303.4,28304263.0,37.6,105.0,66.0,171.0
94,ODAS,"ODAS - Odaş Elektrik Üretim 
	Hisse Senedi",2026/3,March,481771443.0,10135600000.0,4.75,1.19,11676.0,-1540.4,353062124.0,17.7,64.0,110.0,174.0
95,EREGL,"EREGL - Ereğli Demir Çelik 
	Hisse Senedi",2026/3,March,11480877007.0,317071300000.0,3.62,2.61,285600.0,31471.3,3212593000.0,141.1,76.0,99.0,175.0
96,ALFAS,"ALFAS - Alfa Solar 
	Hisse Senedi",2026/3,March,354781132.0,19457500000.0,1.82,4.46,17406.4,2051.1,277834998.0,8.5,92.0,90.0,182.0
97,KBORU,"KBORU - Kuzey Boru 
	Hisse Senedi",2026/3,March,329717379.0,19714000000.0,1.67,4.43,16332.0,3382.0,203430732.0,6.7,95.0,92.0,187.0
98,HOROZ,"HOROZ - Horoz Lojistik 
	Hisse Senedi",2026/3,March,192371235.0,8851900000.0,2.17,3.26,5832.0,3019.9,81674524.0,8.2,90.0,98.0,188.0
99,ALTNY,"ALTNY - Altınay Savunma 
	Hisse Senedi",2026/3,March,133261307.0,18866300000.0,0.71,4.84,16960.0,1906.3,43768971.0,11.6,106.0,89.0,195.0
100,OTKAR,"OTKAR - Otokar 
	Hisse Senedi",2026/3,March,835414959.0,77682500000.0,1.08,3.57,45240.0,32442.5,838437000.0,8.7,100.0,96.0,196.0
101,KRDMB,"KRDMB - Kardemir (B) 
	Hisse Senedi",2026/3,March,291093148.0,16606200000.0,1.75,2.48,16224.1,382.1,13431763.0,23.5,94.0,102.0,196.0
102,SISE,"SISE - Şişecam 
	Hisse Senedi",2026/3,March,5109028367.0,259912200000.0,1.97,1.35,136313.0,123599.2,450804000.0,62.9,91.0,108.0,199.0
103,OBAMS,"OBAMS - Oba Makarnacılık 
	Hisse Senedi",2026/3,March,220952362.0,14157000000.0,1.56,1.89,16770.2,-2613.2,692219681.0,9.2,96.0,104.0,200.0
104,CVKMD,"CVKMD - Cvk Maden 
	Hisse Senedi",2026/3,March,455610596.0,58672900000.0,0.78,3.36,55888.0,2784.9,72609387.0,20.9,104.0,97.0,201.0
105,OZATD,"OZATD - Özata Denizcilik 
	Hisse Senedi",2026/3,March,282195451.0,126580500000.0,0.22,4.45,125504.6,1075.9,49428517.0,13.9,114.0,91.0,205.0
106,ARFYE,"ARFYE - Arf Bio Enerji 
	Hisse Senedi",2026/3,March,49690272.0,5337300000.0,0.93,2.08,5799.6,-462.3,71528823.0,5.6,103.0,103.0,206.0
107,ESEN,"ESEN - Esenboğa Elektrik 
	Hisse Senedi",2026/3,March,222808420.0,14500400000.0,1.54,0.95,6679.4,7821.0,148516320.0,9.4,97.0,112.0,209.0
108,ECILC,"ECILC - Eczacıbaşı İlaç 
	Hisse Senedi",2026/3,March,713964525.0,52678800000.0,1.36,0.97,52833.5,-154.7,258579000.0,13.2,98.0,111.0,209.0
109,KLRHO,"KLRHO - Kiler Holding 
	Hisse Senedi",2026/3,March,863214151.0,140392500000.0,0.61,1.43,146656.3,-6263.8,563643000.0,18.3,108.0,107.0,215.0
110,TMPOL,"TMPOL - TE-MAPOL Polimer Plastik 
	Hisse Senedi",2026/3,March,23800246.0,7178299999.999999,0.33,1.88,6591.4,586.9,8197757.0,5.4,111.0,105.0,216.0
111,MAGEN,"MAGEN - Margün Enerji 
	Hisse Senedi",2026/3,March,288701212.0,104275800000.0,0.28,1.24,96465.0,7810.8,245556579.0,17.3,112.0,109.0,221.0
112,PASEU,"PASEU - Pasifik Eurasia 
	Hisse Senedi",2026/3,March,86679033.0,58664800000.0,0.15,1.85,57590.4,1074.4,124215077.0,50.1,115.0,106.0,221.0
113,SASA,"SASA - Sasa Polyester Sanayi A.Ş. 
	Hisse Senedi",2026/3,March,1689109974.0,250863000000.0,0.67,0.59,112898.1,137964.9,1310274000.0,263.5,107.0,115.0,222.0
114,BESTE,"BESTE - Best Brands Grup 
	Hisse Senedi",2026/3,March,31050627.0,5954799999.999999,0.52,0.6,6248.4,-293.6,58547245.0,15.6,110.0,114.0,224.0
115,GZNMI,"GZNMI - Gezinomi Seyahat 
	Hisse Senedi",2026/3,March,14344129.0,5420900000.0,0.26,0.77,4182.8,1238.1,106101873.0,5.7,113.0,113.0,226.0
